Student Age,Additional work,Regular artistic or sports activity,Do you have a partner,Transportation to the university,Weekly study hours,Reading frequency,Reading frequency,Attendance to the seminars/conferences related to the department,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,GRADE
2,2,2,1,1,2,2,2,1,1,1,1,2,2,5
2,2,2,1,1,2,2,2,1,2,1,1,2,1,3
1,2,1,1,1,1,1,2,1,1,1,1,3,2,1
1,2,2,2,4,2,2,2,1,1,2,1,2,2,2
2,2,2,1,2,2,2,2,1,2,1,1,2,2,1
2,1,1,2,1,1,2,2,1,2,1,1,2,3,4
2,1,2,2,1,3,1,1,1,1,1,2,2,2,1
2,2,1,2,1,1,2,2,1,2,1,1,2,2,5
2,2,2,2,4,2,1,1,1,1,1,2,3,1,3
3,1,2,1,1,1,2,2,1,1,3,3,1,3,3
2,2,1,2,1,4,2,3,1,1,1,2,3,2,5
2,1,1,2,1,2,3,2,1,1,1,1,3,2,4
3,2,2,1,1,3,2,2,1,1,1,1,3,2,3
2,2,1,1,1,3,2,2,1,1,1,1,3,3,5
2,2,2,2,2,1,2,2,1,1,1,1,1,3,2
1,2,1,2,1,3,1,2,1,2,1,1,3,2,5
2,2,2,2,4,3,2,2,1,1,1,1,2,3,3
2,2,2,1,1,1,1,2,1,1,3,1,2,2,5
2,2,2,2,1,1,2,2,1,1,2,1,3,2,3
1,2,2,1,1,1,1,2,1,2,2,1,2,1,2
2,2,2,1,1,2,2,2,1,1,1,1,3,2,5
2,1,1,2,1,2,2,2,1,2,1,1,2,2,1
2,1,2,2,1,1,2,2,1,2,1,1,2,2,5
2,2,2,1,1,1,1,2,1,1,2,1,3,2,5
1,2,1,1,1,2,2,2,1,1,1,1,2,2,7
1,2,2,2,1,2,2,1,1,1,1,1,2,3,6
1,2,1,1,1,2,3,3,1,1,1,1,2,2,6
2,2,2,2,1,3,1,1,2,1,1,2,3,2,6
1,2,2,2,1,2,2,2,2,1,2,1,3,2,7
1,2,1,2,1,3,3,1,1,1,1,1,2,2,7
2,2,1,2,1,2,3,2,1,1,3,2,2,1,4
1,2,2,1,2,2,2,2,2,2,3,1,2,2,7
2,1,1,2,1,2,3,3,1,2,1,1,3,3,4
2,2,2,2,1,1,2,2,1,1,1,1,3,3,3
2,1,2,1,2,1,1,1,1,1,1,1,2,3,4
3,1,2,2,1,2,2,2,1,1,1,1,3,3,3
2,1,2,1,1,2,2,3,1,1,1,1,3,3,7
2,2,2,2,1,1,2,2,1,1,3,1,3,2,7
3,1,2,1,1,1,2,2,1,1,3,3,3,3,7
1,2,2,2,1,1,1,1,1,1,1,1,3,2,4
2,2,2,2,4,2,2,2,1,1,1,1,3,2,5
2,2,1,2,1,2,2,2,1,1,2,1,2,2,6
1,2,1,1,1,2,2,2,1,1,1,2,3,1,6
2,2,2,2,1,2,2,2,1,2,1,1,3,1,6
2,2,1,1,2,2,2,2,1,1,1,1,2,3,6
2,1,1,1,1,2,2,2,1,1,1,1,2,3,6
1,2,2,2,1,3,2,2,1,1,1,1,3,2,7
1,1,2,1,1,5,2,1,1,1,1,1,3,3,4
2,2,2,1,1,2,2,3,1,1,1,1,3,2,6
1,1,1,1,2,2,2,3,1,1,1,1,3,2,5
1,2,1,1,2,2,3,2,1,1,1,1,3,2,7
1,1,2,2,1,2,2,2,1,1,1,1,3,2,6
1,2,1,2,4,2,3,2,1,1,1,1,3,1,7
2,2,2,2,4,3,2,2,1,1,1,1,3,2,7
1,2,2,2,2,2,2,2,1,1,1,1,2,2,6
1,2,2,1,1,2,2,2,1,1,1,1,3,3,7
1,2,2,1,1,2,2,2,2,1,1,1,3,1,7
1,2,2,1,1,2,3,2,1,1,1,1,2,2,7
1,2,2,2,2,2,2,2,1,1,1,1,2,3,3
1,1,1,2,1,2,3,2,1,2,1,2,2,1,7
1,2,1,2,1,3,2,2,1,1,3,2,2,2,7
1,1,1,2,1,2,2,2,1,1,2,1,2,3,6
2,2,1,2,2,3,3,2,1,2,1,1,2,3,6
1,2,1,1,2,3,2,2,1,1,2,2,3,2,7
2,2,2,2,4,2,2,2,1,2,1,1,2,2,2
1,2,1,2,1,1,2,2,2,1,1,1,3,1,2
2,1,2,2,3,1,1,1,2,1,2,1,3,3,2
2,2,2,2,4,2,2,3,2,2,2,1,2,2,1
2,1,1,2,1,2,2,2,2,1,1,1,2,2,2
2,1,2,1,1,3,3,2,2,1,2,2,3,2,1
2,2,2,2,1,3,3,3,2,1,1,1,3,3,1
3,2,1,2,1,2,2,3,2,2,1,1,2,3,1
1,2,1,1,4,1,2,2,1,1,3,1,3,3,1
2,2,1,2,1,5,2,2,1,1,1,2,2,2,2
2,1,1,1,2,1,1,1,1,2,2,1,3,3,1
2,1,1,1,2,5,3,3,1,1,2,1,1,1,0
1,2,1,2,1,2,1,2,1,1,2,1,3,2,2
2,2,2,2,1,2,2,3,2,1,1,1,3,3,1
1,1,1,1,1,4,2,2,2,1,2,2,3,3,3
1,1,1,2,1,3,2,3,2,1,1,2,3,2,2
1,1,1,1,2,4,2,3,1,1,2,1,3,3,3
1,2,2,2,4,2,1,1,2,1,1,1,3,2,1
1,2,1,1,4,2,1,1,2,1,1,1,3,2,0
1,1,1,2,1,4,2,3,2,1,2,2,3,2,3
1,1,1,2,1,4,2,2,2,1,1,2,3,1,1
1,2,1,2,2,4,1,3,2,1,1,2,3,2,4
1,2,1,2,1,2,2,3,2,1,2,1,3,2,3
1,2,2,1,1,3,1,2,2,1,1,1,3,3,3
1,2,1,2,2,2,2,2,2,1,1,1,2,1,1
2,1,1,2,4,2,3,2,1,1,1,1,3,3,2
1,1,1,1,2,2,2,2,2,1,3,1,3,2,0
1,2,1,2,1,2,2,2,1,1,1,1,3,1,2
1,1,1,1,2,2,2,3,2,1,2,1,3,2,0
1,1,2,1,2,1,1,2,2,2,2,1,2,3,0
2,1,1,2,1,3,3,2,1,1,1,1,2,1,5
1,2,2,2,4,3,2,2,2,2,1,1,3,2,5
1,2,2,2,1,2,2,2,1,1,1,1,3,3,1
2,1,1,1,2,2,2,1,1,1,2,1,2,1,4
1,2,2,2,1,3,1,1,1,1,2,1,3,2,3
